City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,bada,51.392,109.8717,-19.57,87,100,6.47,RU,1701977233
342,auki,-8.7676,160.7034,25.09,88,100,3.27,SB,1701977233
343,kavaratti,10.5669,72.642,28.31,66,35,2.24,IN,1701977234
344,dunay,42.8803,132.3375,-7.38,37,13,3.98,RU,1701977234
345,sterling,39.0062,-77.4286,8.93,56,75,5.66,US,1701977234
346,leer,53.2316,7.461,1.08,96,100,1.79,DE,1701977234
347,salekhard,66.53,66.6019,-23.03,88,100,3.49,RU,1701977235
348,nantong,32.0303,120.8747,11.1,59,0,3.89,CN,1701977215
349,viedma,-40.8135,-62.9967,22.47,42,9,8.77,AR,1701977235
350,firmat,-33.4594,-61.4832,27.68,29,0,5.98,AR,1701977236
351,sao joao da barra,-21.6403,-41.0511,31.05,77,0,9.3,BR,1701977140
352,umm al quwain city,25.5647,55.5552,26.01,55,0,3.39,AE,1701977236
353,mandalgovi,45.7625,106.2708,-7.71,70,0,7.84,MN,1701977236
354,santana,-0.0583,-51.1817,34.1,59,20,6.17,BR,1701977084
355,sawakin,19.1059,37.3321,27.26,74,53,2.41,SD,1701977237
356,vuktyl,63.8567,57.3094,-28.7,98,100,1.06,RU,1701977237
357,calama,-22.4667,-68.9333,26.27,5,0,12.35,CL,1701977237
358,sagua la grande,22.8067,-80.0756,25.55,55,100,6.1,CU,1701977238
359,vila velha,-20.3297,-40.2925,29.97,70,20,9.26,BR,1701977238
360,port-gentil,-0.7193,8.7815,25.98,100,100,2.06,GA,1701977238
